date,year,month,day,start,start_hour,end,end_hour,duration_mins,type,,
15.12.2018,2018,12,15,17:00,17,17:30,17,30,TKO_Road_BrokenCar,,
27.12.2018,2018,12,27,18:38,18,19:02,19,24,TKO_Road_Accident,,
29.12.2018,2018,12,29,12:25,12,12:40,12,15,TKO_Road_BrokenCar,,
31.12.2018,2018,12,31,08:04,8,08:36,8,32,TKO_Tunnel_BrokenCar,,
31.12.2018,2018,12,31,12:50,12,13:45,13,55,TKO_Tunnel_BrokenCar,,
31.12.2018,2018,12,31,18:45,18,19:05,19,20,TKO_Road_Accident,,
15.01.2019,2019,1,15,17:38,17,18:21,18,43,TKO_Road_BrokenCar,,
17.01.2019,2019,1,17,08:23,8,08:45,8,22,TKO_Road_Accident,,
22.01.2019,2019,1,22,09:10,9,09:53,9,43,TKO_Road_Accident,,
26.01.2019,2019,1,26,10:15,10,10:25,10,10,TKO_Tunnel_Accident,,
27.01.2019,2019,1,27,10:57,10,11:15,11,18,TKO_Road_BrokenCar,,
04.02.2019,2019,2,4,12:25,12,12:47,12,22,TKO_Road_Accident,,
05.02.2019,2019,2,5,13:36,13,14:16,14,40,TKO_Tunnel_Accident,,
05.02.2019,2019,2,5,21:50,21,22:25,22,35,TKO_Road_Accident,,
11.02.2019,2019,2,11,08:07,8,08:49,8,42,TKO_Road_Accident,,
13.02.2019,2019,2,13,09:46,9,10:50,10,64,TKO_Road_BrokenCar,,
13.02.2019,2019,2,13,18:00,18,18:15,18,15,TKO_Road_Accident,,
18.02.2019,2019,2,18,16:10,16,16:48,16,38,TKO_Tunnel_Accident,,
22.02.2019,2019,2,22,17:38,17,18:28,18,50,TKO_Road_BrokenCar,,
26.02.2019,2019,2,26,16:42,16,17:03,17,21,TKO_Road_Accident,,
27.02.2019,2019,2,27,11:11,11,11:40,11,29,TKO_Road_BrokenCar,,
07.03.2019,2019,3,7,19:56,19,20:05,20,9,TKO_Road_Accident,,
08.03.2019,2019,3,8,20:05,20,20:25,20,20,TKO_Road_Accident,,
09.03.2019,2019,3,9,18:50,18,19:10,19,20,TKO_Road_Accident,,
10.03.2019,2019,3,10,09:55,9,10:31,10,36,TKO_Tunnel_BrokenCar,,
12.03.2019,2019,3,12,18:26,18,18:32,18,6,TKO_Tunnel_Accident,,
13.03.2019,2019,3,13,08:45,8,09:37,0,52,TKO_Road_BrokenCar,,
15.03.2019,2019,3,15,16:37,16,17:35,17,58,TKO_Road_BrokenCar,,
17.03.2019,2019,3,17,12:25,12,12:30,12,5,TKO_Road_Accident,,
18.03.2019,2019,3,18,16:11,16,17:00,17,49,TKO_Tunnel_Accident,,
18.03.2019,2019,3,18,20:00,20,21:00,21,60,TKO_Road_Accident,,
23.03.2019,2019,3,23,08:25,8,10:10,10,105,TKO_Road_BrokenCar,,
23.03.2019,2019,3,23,19:34,19,20:02,20,28,TKO_Road_Accident,,
25.03.2019,2019,3,25,20:06,20,20:57,20,51,TKO_Road_BrokenCar,,
29.03.2019,2019,3,29,09:07,9,09:27,9,20,TKO_Tunnel_BrokenCar,,
08.04.2019,2019,4,8,20:05,20,20:30,20,25,TKO_Road_Accident,,
11.04.2019,2019,4,11,16:34,16,19:20,19,166,TKO_Road_BrokenCar,,
13.04.2019,2019,4,13,09:14,9,09:30,9,16,TKO_Road_BrokenCar,,
18.04.2019,2019,4,18,09:32,9,09:50,9,18,TKO_Road_Accident,,
22.04.2019,2019,4,22,11:10,11,13:08,13,118,TKO_Road_Accident,,
25.04.2019,2019,4,25,07:38,7,08:06,8,28,TKO_Road_BrokenCar,,
29.04.2019,2019,4,29,08:58,8,09:32,9,34,TKO_Road_Accident,,
09.05.2019,2019,5,9,19:40,19,20:37,20,57,TKO_Tunnel_Accident,,
11.05.2019,2019,5,11,10:47,10,11:00,11,13,TKO_Road_BrokenCar,,
20.05.2019,2019,5,20,12:43,12,13:19,13,35,TKO_Tunnel_Accident,,
23.05.2019,2019,5,23,14:58,14,16:29,16,91,TKO_Road_Accident,,
24.05.2019,2019,5,24,17:20,17,17:30,17,10,TKO_Road_Accident,,
29.05.2019,2019,5,29,16:05,16,16:33,16,28,TKO_Road_BrokenCar,,
30.05.2019,2019,5,30,08:58,8,09:20,9,22,TKO_Tunnel_Accident,,
04.06.2019,2019,6,4,10:30,10,11:10,11,40,TKO_Tunnel_Accident,,
04.06.2019,2019,6,4,11:40,11,11:50,11,10,TKO_Tunnel_BrokenCar,,
09.06.2019,2019,6,9,13:45,13,14:15,14,30,TKO_Road_Accident,,
10.06.2019,2019,6,10,16:10,16,16:45,16,35,TKO_Tunnel_Accident,,
10.06.2019,2019,6,10,17:40,17,17:50,17,10,TKO_Tunnel_BrokenCar,,
11.06.2019,2019,6,11,20:09,20,20:52,20,43,TKO_Road_BrokenCar,,
19.06.2019,2019,6,19,07:25,7,07:30,7,5,TKO_Tunnel_Accident,,
29.06.2019,2019,6,29,11:12,11,11:20,11,8,TKO_Tunnel_BrokenCar,,
08.07.2019,2019,7,8,07:43,7,09:04,9,81,TKO_Road_BrokenCar,,
16.07.2019,2019,7,16,07:50,7,08:20,8,30,TKO_Road_BrokenCar,,
16.07.2019,2019,7,16,12:00,12,12:40,12,40,TKO_Tunnel_BrokenCar,,
18.07.2019,2019,7,18,08:22,8,08:45,8,23,TKO_Road_BrokenCar,,
24.07.2019,2019,7,24,10:30,10,10:40,10,10,TKO_Road_Accident,,
27.07.2019,2019,7,27,11:09,11,11:39,11,30,TKO_Road_Accident,,
06.08.2019,2019,8,6,19:07,19,19:48,19,41,TKO_Road_BrokenCar,,
09.08.2019,2019,8,9,19:00,19,19:30,19,30,TKO_Road_BrokenCar,,
12.08.2019,2019,8,12,20:05,20,21:00,21,55,TKO_Road_Accident,,
15.08.2019,2019,8,15,19:45,19,20:07,20,22,TKO_Road_Accident,,
17.08.2019,2019,8,17,09:42,9,10:01,10,19,TKO_Road_BrokenCar,,
19.08.2019,2019,8,19,10:05,10,10:24,10,19,TKO_Road_Accident,,
24.08.2019,2019,8,24,08:44,8,09:34,9,50,TKO_Road_Accident,,
29.08.2019,2019,8,29,19:40,19,20:12,20,32,TKO_Road_Accident,,
31.08.2019,2019,8,31,12:44,12,14:07,14,83,TKO_Road_BrokenCar,,
02.09.2019,2019,9,2,16:30,16,16:53,16,23,TKO_Road_BrokenCar,,
03.09.2019,2019,9,3,10:43,10,11:23,11,40,TKO_Road_Accident,,
12.09.2019,2019,9,12,10:50,10,11:32,11,42,TKO_Road_Accident,,
13.09.2019,2019,9,13,21:26,21,22:10,22,44,TKO_Tunnel_Accident,,
14.09.2019,2019,9,14,15:45,15,17:20,17,95,TKO_Road_Accident,,
14.09.2019,2019,9,14,16:00,16,16:15,16,15,TKO_Road_Accident,,
16.09.2019,2019,9,16,19:29,19,19:41,19,12,TKO_Road_BrokenCar,,
17.09.2019,2019,9,17,07:50,7,08:15,8,25,TKO_Road_Accident,,
20.09.2019,2019,9,20,17:40,17,17:56,17,16,TKO_Road_Accident,,
26.09.2019,2019,9,26,08:24,8,08:47,8,23,TKO_Road_BrokenCar,,
27.09.2019,2019,9,27,19:00,19,19:15,19,15,TKO_Road_Accident,,
28.09.2019,2019,9,28,19:00,19,19:10,19,10,TKO_Tunnel_Accident,,
29.09.2019,2019,9,29,14:00,14,14:25,14,25,TKO_Road_Accident,,
05.10.2019,2019,10,5,17:07,17,17:50,17,43,TKO_Road_Accident,,
05.10.2019,2019,10,5,18:36,18,19:02,19,26,TKO_Tunnel_Accident,,
10.10.2019,2019,10,10,15:50,15,16:32,16,42,TKO_Road_BrokenCar,,
11.10.2019,2019,10,11,08:11,8,10:24,10,133,TKO_Road_BrokenCar,,
19.10.2019,2019,10,19,18:40,18,18:57,18,17,TKO_Road_BrokenCar,,
26.10.2019,2019,10,26,08:18,8,10:05,10,107,TKO_Road_Accident,,
01.11.2019,2019,11,1,18:05,18,18:29,18,24,TKO_Road_Accident,,
04.11.2019,2019,11,4,15:30,15,16:01,16,31,TKO_Road_Accident,,
04.11.2019,2019,11,4,17:28,17,17:46,17,18,TKO_Road_Accident,,
05.11.2019,2019,11,5,11:09,11,12:20,12,71,TKO_Road_Accident,,
07.11.2019,2019,11,7,20:00,20,20:10,20,10,TKO_Road_Accident,,
09.11.2019,2019,11,9,18:15,18,18:50,18,35,TKO_Tunnel_BrokenCar,,
